# Experiment IPTS-16012 Run 137848
# Run start time: 2016-02-27T02:27:17.319875666
# Reduction time: Mon Feb 29 11:23:28 2016
# Mantid version: 3.6.20160226.2001
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B         PrimaryFrac 
# 137848    137836    1.23318        13.3001        16.7001      0.0080       0.0101       1.0          0.0          0.9840      
# 137849    137837    1.234          10.8096        14.2106      0.0095       0.0125       1.0          0.0          0.9732      
# 137850    137838    1.23378        7.85958        11.2606      0.0120       0.0172       4.3780       -1.187       0.9707      
# 137851    137839    1.23408        4.87003        8.27006      0.0163       0.0277       34.039       -0.000       0.9733      
# 137852    137840    1.41317        2.55002        5.95004      0.0260       0.0607       80.344       0.0008       0.9106      
# 137853    137840    2.77079        2.55002        5.95004      0.0510       0.1191       310.61       0.0073       0.8209      
# 137854    137840    5.45341        2.55002        5.95004      0.1004       0.2344       1395.8       0.0199       0.8081      
# dQ0[1/Angstrom] = 0.0004
# dQ/Q = 0.023
# Q[1/Angstrom] R delta_R Precision
0.0102282472269 0.773519184802 0.0664032809292 0.000635249686218
0.010279388463 0.813082590402 0.0641207220518 0.000636425934649
0.0103307854053 0.659922376658 0.0586367052362 0.000637608064322
0.0103824393323 0.619513521549 0.0538650237502 0.000638796104644
0.010434351529 0.546664580785 0.0512776928762 0.000639990085167
0.0104865232866 0.439419798567 0.0439686116775 0.000641190035593
0.0105389559031 0.404615011711 0.0417637596233 0.000642395985771
0.0105916506826 0.490906745472 0.0461172273188 0.0006436079657
0.010644608936 0.279059693537 0.0344542592848 0.000644826005528
0.0106978319807 0.305547552611 0.0355249076647 0.000646050135556
0.0107513211406 0.280289558594 0.0341812284723 0.000647280386234
0.0108050777463 0.274683320349 0.0326970884996 0.000648516788165
0.010859103135 0.209201019101 0.0294843016585 0.000649759372106
0.0109133986507 0.225310043326 0.0292433471291 0.000651008168966
0.010967965644 0.194150201467 0.0267364117778 0.000652263209811
0.0110228054722 0.240607865177 0.0295679500054 0.00065352452586
0.0110779194995 0.21077641109 0.0280430106053 0.000654792148489
0.011133309097 0.222777581314 0.0277489568733 0.000656066109232
0.0111889756425 0.185946899238 0.0247663257757 0.000657346439778
0.0112449205207 0.174442225963 0.0241491547616 0.000658633171977
0.0113011451233 0.152134221894 0.0216087145487 0.000659926337837
0.011357650849 0.142417543166 0.0206870551953 0.000661225969526
0.0114144391032 0.164506776102 0.0226545367013 0.000662532099373
0.0114715112987 0.141716421372 0.0200554282341 0.00066384475987
